Per Tar Summary:
2303_114: .gz = 0, .pdf = 0
1608_015: .gz = 0, .pdf = 0
1205_006: .gz = 0, .pdf = 0
1801_006: .gz = 144, .pdf = 144
1907_026: .gz = 0, .pdf = 0
2411_052: .gz = 0, .pdf = 0
1907_017: .gz = 0, .pdf = 0
2312_045: .gz = 0, .pdf = 0
2404_097: .gz = 0, .pdf = 0
2007_027: .gz = 140, .pdf = 140
2406_096: .gz = 0, .pdf = 0
2003_041: .gz = 99, .pdf = 99
2401_039: .gz = 0, .pdf = 0
2208_040: .gz = 0, .pdf = 0
2311_096: .gz = 0, .pdf = 0
0601_001: .gz = 1048, .pdf = 1048
1702_008: .gz = 66, .pdf = 66
2208_033: .gz = 0, .pdf = 0
2010_064: .gz = 0, .pdf = 0
2011_040: .gz = 0, .pdf = 0
1109_006: .gz = 0, .pdf = 0
2310_071: .gz = 0, .pdf = 0
2202_043: .gz = 0, .pdf = 0
0705_002: .gz = 317, .pdf = 317
2309_009: .gz = 0, .pdf = 0
2402_041: .gz = 0, .pdf = 0
1311_002: .gz = 394, .pdf = 394
2405_122: .gz = 0, .pdf = 0
2106_039: .gz = 0, .pdf = 0
2309_052: .gz = 0, .pdf = 0
2109_031: .gz = 0, .pdf = 0
2108_060: .gz = 0, .pdf = 0
2408_111: .gz = 0, .pdf = 0
2110_020: .gz = 0, .pdf = 0
1212_001: .gz = 564, .pdf = 564
2405_064: .gz = 0, .pdf = 0
2405_079: .gz = 0, .pdf = 0
2108_029: .gz = 0, .pdf = 0
2211_006: .gz = 0, .pdf = 0
9809_001: .gz = 2038, .pdf = 2038
2403_088: .gz = 0, .pdf = 0
2002_041: .gz = 131, .pdf = 131
2004_034: .gz = 307, .pdf = 307
2212_033: .gz = 0, .pdf = 0
1104_003: .gz = 298, .pdf = 298
1603_010: .gz = 0, .pdf = 0
2410_025: .gz = 0, .pdf = 0
2301_035: .gz = 0, .pdf = 0
2409_012: .gz = 0, .pdf = 0
1909_044: .gz = 119, .pdf = 119
2409_001: .gz = 99, .pdf = 99
2110_026: .gz = 0, .pdf = 0
